defined_class	class_label	mature_neuron	mature_neuron_label	neuroblast	neuroblast_label	hemilineage	hemilineage_label	differentiation_stage	differentiation_stage_label
FBbt:00051447	larval ellipsoid body R-neuron precursor	FBbt:00007507	adult ellipsoid body R-neuron	FBbt:00050136	neuroblast DALv2			FBbt:00047096	secondary
FBbt:00052258	immature T5 neuron	FBbt:00003736	T5 neuron	FBbt:00047992	type III neuroblast			FBbt:00047096	secondary
FBbt:00052262	immature T5d neuron	FBbt:00003740	T5d neuron						
FBbt:00052261	immature T5c neuron	FBbt:00003739	T5c neuron						
FBbt:00052259	immature T5a neuron	FBbt:00003737	T5a neuron						
FBbt:00052260	immature T5b neuron	FBbt:00003738	T5b neuron						
FBbt:00051426	embryonic immature chordotonal neuron	FBbt:00051425	larval chordotonal neuron					FBbt:00047097	primary
FBbt:00051422	embryonic immature Basin neuron	FBbt:00047194	larval Basin neuron	FBbt:00001375	neuroblast NB3-5			FBbt:00047097	primary
FBbt:00051454	larval ellipsoid body-protocerebral bridge-gall neuron precursor	FBbt:00003637	adult ellipsoid body-protocerebral bridge-gall neuron					FBbt:00047096	secondary
FBbt:00052257	immature T4 neuron	FBbt:00003731	T4 neuron	FBbt:00047992	type III neuroblast			FBbt:00047096	secondary
FBbt:00052263	immature T4a neuron	FBbt:00003732	T4a neuron						
FBbt:00052264	immature T4b neuron	FBbt:00003733	T4b neuron						
FBbt:00052265	immature T4c neuron	FBbt:00003734	T4c neuron						
FBbt:00052266	immature T4d neuron	FBbt:00003735	T4d neuron						
FBbt:00051451	larval tubercle-bulb neuron precursor	FBbt:00047047	adult tubercle-bulb neuron					FBbt:00047096	secondary
