defined_class	class_label	muscle_cell	muscle_cell_label	neuroblast	neuroblast_label	nerve	nerve_label
FBbt:00001447	DA1 motor neuron	FBbt:00110221	muscle cell of dorsal acute muscle 1	FBbt:00001434	ganglion mother cell GMC1-1a		
FBbt:00001452	VO2 motor neuron	FBbt:00110244	muscle cell of ventral oblique muscle 2	FBbt:00001394	neuroblast NB3-1		
FBbt:00001455	VL3/4 motor neuron	FBbt:00110246	muscle cell of ventral longitudinal muscle 3	FBbt:00001394	neuroblast NB3-1		
FBbt:00001456	RP4 motor neuron	FBbt:00110249	muscle cell of ventral oblique muscle 1				
FBbt:00001456	VO1 motor neuron	FBbt:00110249	muscle cell of ventral oblique muscle 1	FBbt:00001394	neuroblast NB3-1		
FBbt:00001567	DA2 motor neuron	FBbt:00110222	muscle cell of dorsal acute muscle 2	FBbt:00006037	ganglion mother cell GMC7-1c		
FBbt:00002199	A1-7 VO2 motor neuron	FBbt:00000618	muscle cell of A1-7 ventral oblique muscle 2			FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00002215	A1-7 VL3/4 motor neuron	FBbt:00000604	muscle cell of A1-7 ventral longitudinal muscle 3	FBbt:00001394	neuroblast NB3-1	FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00002223	A1-7 VO1 motor neuron	FBbt:00000617	muscle cell of A1-7 ventral oblique muscle 1			FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00002303	A1-7 DO1 motor neuron	FBbt:00000609	muscle cell of A1-7 dorsal oblique muscle 1			FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00002311	A1-7 DA2 motor neuron	FBbt:00000592	muscle cell of A1-7 dorsal acute muscle 2			FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00007679	type Ib motor neuron	FBbt:00005074	muscle cell				
FBbt:00011548	DO3 motor neuron	FBbt:00110236	muscle cell of dorsal oblique muscle 3				
FBbt:00047469	VL1 motor neuron	FBbt:00110301	muscle cell of ventral longitudinal muscle 1				
FBbt:00047470	A1-7 VL1 motor neuron	FBbt:00000602	muscle cell of A1-7 ventral longitudinal muscle 1			FBbt:00007326|FBbt:00002319	larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00110220	A1-7 DA1 motor neuron	FBbt:00000591	muscle cell of A1-7 dorsal acute muscle 1			FBbt:00001120|FBbt:00110210|FBbt:00002319	larval posterior commissure|larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
